"","V1","V2"
"1",220000,350000
"2",240000,410000
"3",280000,430000
"4",265000,470000
"5",2e+05,455000
"6",160000,425000
"7",135000,385000
"8",160000,360000
"9",130000,355000
"10",85000,360000
"11",55000,335000
"12",50000,3e+05
"13",60000,290000
"14",45000,270000
"15",45000,250000
"16",75000,210000
"17",95000,190000
"18",55000,130000
"19",20000,105000
"20",25000,70000
"21",55000,35000
"22",95000,15000
"23",210000,55000
"24",250000,85000
"25",280000,90000
"26",315000,95000
"27",325000,120000
"28",340000,160000
"29",350000,190000
"30",340000,235000
"31",340000,255000
"32",325000,280000
"33",330000,310000
"34",320000,325000
"35",290000,325000
"36",280000,355000
"37",265000,360000
"38",245000,340000
"39",70065.0753112253,310065.075311225
"40",266250,338750
"41",305000,304166.666666667
"42",75130.1506224505,260000
"43",309869.849377549,245000
"44",253741.865586097,307361.714963646
"45",91186.4548696732,286913.167687646
"46",279094.629975804,301331.466915912
"47",257333.633682502,266152.460451911
"48",295023.946529852,275551.427013211
"49",293863.636363636,117954.545454545
"50",81338.0327961725,333894.360644593
"51",95900.484465406,312424.178204598
"52",107500,357500
"53",131975.999137873,292566.951858216
"54",104832.42222637,334156.074501864
"55",120768.66289069,314904.697702752
"56",159839.496903182,320527.034778465
"57",115130.150622451,230130.150622451
"58",299804.774066324,190065.075311225
"59",220924.720015507,316061.800038768
"60",307433.242622672,149400.034016498
"61",260030.213508796,117318.718947227
"62",106107.425025757,259765.215595906
"63",316753.509853354,215349.273870403
"64",145255.294804245,255493.153429209
"65",279138.439355995,222241.037525999
"66",55555.5555555556,92222.2222222222
"67",167500,392500
"68",191401.441016289,332239.072123646
"69",230130.537769323,284542.613942687
"70",276449.228335332,144119.924981718
"71",227863.502187937,155454.691454262
"72",112190.284509073,111948.059739513
"73",192438.271604938,369629.62962963
"74",197581.967213115,416557.37704918
"75",188446.753097829,291818.404174907
"76",216027.180993559,234365.868334247
"77",216393.098338999,113145.818193636
"78",230000,380000
"79",94117.0155662909,63234.0311325819
"80",257613.223371784,185690.699798887
"81",163516.305005807,180744.675572652
"82",218524.461760346,194397.163323942
"83",186230.901362398,144032.437006756
"84",151562.719898596,217429.237677061
"85",142881.976792065,142594.697111608
"86",129893.896660947,190078.692596476
"87",112515.128496869,159806.874794141
"88",75000,160000
"89",86627.7178884111,130581.521407726
"90",84375.8083508229,100641.301468975
"91",106371.496415137,86397.2003639107
"92",152500,35000
"93",147773.452538102,90406.5819661905
"94",128505.700421739,59863.8910476255
"95",123750,25000
"96",185870.985290233,208318.705686442
"97",176203.463936537,241066.908062861
"98",269927.008858382,319098.354414803
"99",262376.290707013,287353.129881847
"100",110729.165420665,295887.306044611
"101",141242.240727962,311196.384108462
"102",160184.370811765,290155.38629875
"103",141177.471121067,334524.23489359
"104",126407.130706434,95272.4104402041
"105",142416.590126889,116227.786322557
"106",112001.902361905,68595.2298051869
"107",109469.107767673,44532.1281122098
"108",177122.698538999,109961.640296694
"109",162651.830557441,129058.188651313
"110",158506.678586026,106099.564145785
"111",172605.066524791,84939.9721446979
"112",155076.816640088,64450.4364736844
"113",198243.680342799,93229.6119168376
"114",71063.7936370148,116697.342044331
"115",60000,230000
"116",74613.1304728718,278554.604539702
"117",308694.20954407,130205.315324103
"118",322372.070368781,232278.081331519
"119",321347.628596737,260808.577158042
"120",345000,212500
"121",297500,92500
"122",98405.6080013359,213405.608001336
"123",112425.804285383,199415.045632179
"124",90145.6467846512,238390.111839135
"125",90687.6226139578,268964.617235631
"126",277112.103196175,108847.212679502
"127",227792.247493564,333230.618733909
"128",308666.522564733,286841.834766215
"129",324891.587997996,181702.804000668
"130",307187.528946921,170401.983400229
"131",280400.610831718,171562.018465707
"132",296451.049078514,210635.890252528
"133",276304.140515017,199296.73076988
"134",251277.374061862,214035.487968585
"135",124767.563671392,249255.435500258
"136",129420.820921484,270736.599615235
"137",136063.166920089,231572.639020521
"138",155803.732995864,237713.19695016
"139",250275.397818993,141724.665791106
"140",259211.916847882,162828.531954264
"141",229149.319472894,132396.778802095
"142",208942.687561255,142834.770220943
"143",204239.277821404,170380.279928206
"144",93708.576500301,150387.425968952
"145",112739.5372318,135874.841634821
"146",216898.080737077,401033.973087641
"147",194652.47038064,393132.704831864
"148",209829.798022725,379847.029332517
"149",94779.3987192263,114913.607743663
"150",65000,145000
"151",75263.4590638301,78296.3730332734
"152",51538.0023817964,65628.3022805856
"153",134183.032240024,41333.1573099296
"154",173461.937176008,305493.937026865
"155",175665.259490423,268049.277867042
"156",181250,45000
"157",191517.773062732,70238.8199234926
"158",230000,70000
"159",239248.568117121,106052.553077134
"160",222121.058196019,91233.7313844435
"161",210788.866291875,74950.1959806652
"162",329536.062096769,200633.578043658
"163",290345.38243495,156124.546251748
"164",258898.784658228,239560.211414266
"165",283760.206426415,248128.050135242
"166",235697.217925361,251536.812113488
"167",237065.060414158,230117.992706467
"168",223012.194028707,214739.929570311
"169",239512.449526373,196525.186340662
"170",230912.88478288,176777.046281315
"171",197604.195135246,190583.649063723
"172",181581.136635561,166538.641407089
"173",160169.357554086,157899.677970301
"174",137107.05459917,166533.391877081
"175",72153.7221869038,52448.7408576619
"176",75000,25000
"177",156583.644751832,271160.12022869
"178",199026.741214649,255018.705632003
"179",163796.910573246,48849.507101917
"180",277174.826192459,266857.790603662
"181",89080.5730844185,40332.0169030117
"182",34395.4248366013,89199.3464052287
"183",37500,117500
"184",54118.9125167574,110283.350210382
"185",153593.75,378593.75
"186",176763.424551439,411753.097973409
"187",147500,405000
"188",332500,140000
"189",235045.500850301,303082.094592563
"190",210645.776720133,295955.660144002
"191",196251.374864718,311566.223988978
"192",202871.536234991,276044.825327659
"193",220950.156835012,266021.940252975
"194",170485.635283412,340220.554881916
"195",173491.863075196,374001.877751878
"196",199739.973904276,350717.501017509
"197",171074.321113007,221751.681092307
"198",149801.562219692,196565.562301097
"199",194597.465990628,228695.894481383
"200",195812.101357517,123218.22498679
"201",232500,462500
"202",260000,420000
"203",272500,450000
"204",239166.666666667,436666.666666667
"205",257750,438541.666666667
"206",219347.18969555,445328.844652615
"207",221391.239551045,423000.684378216
"208",250960.54153664,456670.986674558
"209",180000,440000
